stdntid,blockid,classid,tfa,classsize,femstdnt,blkstdnt,hstdnt,wstdnt,pre_ts,femteach,blkteach,hteach,wteach,teach_exp,teach_cert,ts
1,39,89,0,21,0,0,0,1,54.40348350383919,0,1,1,0,3,1,42.37509537937285
2,29,61,1,20,0,0,0,1,53.210266422475435,1,1,0,0,4,1,38.46492288182467
3,15,43,0,24,1,0,0,1,50.557923012555115,1,1,0,0,10,0,46.3256794293034
4,43,42,0,25,1,1,1,0,45.738728512103314,1,0,0,1,14,0,41.807735555454585
5,8,25,0,28,1,0,1,0,43.66071777484181,1,0,0,1,15,0,31.9395728423952
6,21,39,0,19,0,0,0,1,38.61582594963776,0,0,0,1,7,1,17.081066402260443
7,39,35,1,24,1,0,1,0,43.85252045610911,0,0,0,1,7,1,27.620796420181286
8,19,3,1,29,1,1,1,0,55.68815011550188,0,0,0,1,8,0,37.63204916435919
9,23,44,1,22,1,0,0,1,63.97825742123994,0,1,1,0,10,0,48.10867004504055
10,11,51,1,28,0,0,0,1,62.510993422423184,1,1,0,0,19,1,40.823572815061546
11,11,94,0,22,1,0,1,0,51.4542301617488,0,0,0,1,19,1,49.79436707292936
12,24,98,0,20,1,0,0,1,63.97294060681637,1,0,0,1,2,0,43.28028441124056
13,36,12,0,22,1,0,1,0,46.9318237213922,1,1,0,0,15,1,39.86438224507627
14,40,19,0,29,0,0,1,0,37.089533174849294,1,0,0,1,1,1,21.05076544593104
15,24,44,0,19,1,0,1,0,69.20874419210276,1,0,0,1,10,1,52.05665844437337
16,3,59,0,21,1,0,0,1,55.328082864567705,0,0,0,1,6,1,36.00898256171337
17,22,49,1,23,0,1,0,0,34.6536924946008,1,0,0,1,13,1,23.258910710530948
18,2,61,1,18,0,0,0,1,65.59048578637362,1,0,0,1,10,1,39.76033095734521
19,24,17,1,27,0,0,0,1,42.56577514891216,1,0,0,1,12,0,29.937177121503478
20,44,74,1,21,0,1,0,0,44.74117742274867,1,0,0,1,6,1,33.965571085987435
21,30,57,1,23,0,0,0,1,60.21383139083205,1,0,1,0,6,1,34.192967013473144
22,38,55,0,26,1,1,0,0,63.61707113656695,0,0,0,1,1,0,40.217377707079756
23,2,47,1,28,1,0,1,0,39.99260971558736,1,0,0,1,12,1,35.121236182630604
24,21,12,1,28,1,0,0,1,64.70990762026778,0,0,0,1,10,1,46.24040011052572
25,33,62,0,19,1,0,0,1,58.74236796409441,1,0,0,1,14,1,53.30056001437553
26,12,80,0,28,0,1,0,0,42.00251188061359,1,1,0,0,15,1,31.844899358619344
27,22,88,1,24,0,0,0,1,47.54093735716496,0,0,1,0,4,1,27.56445192812342
28,44,83,0,23,1,0,0,1,65.16135896573557,0,0,0,1,1,1,38.54680758739133
29,25,8,1,19,0,1,0,0,34.394383973917066,1,1,0,0,8,0,20.995339512542284
30,49,95,1,25,0,0,0,1,63.80714375892219,0,1,0,0,3,0,35.9144023723438
