parcel,year,month,price,risk,acres,sqft,age,class,churchill
1,1993,10,258534.4649835797,0.0,4.81891080973165,21.86616629083418,14,4,1
1,2001,2,247878.26577296059,0.5842924050998854,4.81891080973165,21.86616629083418,22,4,1
1,1991,9,277858.0988729611,0.0,4.81891080973165,21.86616629083418,12,4,1
1,1994,5,271106.63941031526,0.0,4.81891080973165,21.86616629083418,15,4,1
1,1999,1,275052.8331776032,0.0,4.81891080973165,21.86616629083418,20,4,1
2,1994,4,227459.29201402137,0.0,1.4481243059587319,34.24634342950709,20,4,0
2,2000,3,247067.92819758484,0.0,1.4481243059587319,34.24634342950709,26,4,0
2,1990,9,211995.4525275161,0.0,1.4481243059587319,34.24634342950709,16,4,0
2,1998,8,236831.98019373536,0.0,1.4481243059587319,34.24634342950709,24,4,0
3,1997,3,200522.22254029257,0.0,0.9884334665403564,30.740390239826112,37,3,1
3,1990,3,206627.28649188814,0.0,0.9884334665403564,30.740390239826112,30,3,1
3,1996,10,203287.6313572233,0.0,0.9884334665403564,30.740390239826112,36,3,1
3,2001,10,188648.6720403419,0.8652593911078921,0.9884334665403564,30.740390239826112,41,3,1
4,1991,1,210297.22932178527,0.0,3.7749182534485604,18.866296334679028,29,2,1
4,1992,6,212848.706273665,0.0,3.7749182534485604,18.866296334679028,30,2,1
4,1999,2,194319.80019802306,0.0,3.7749182534485604,18.866296334679028,37,2,1
5,1993,8,221305.9176894715,0.0,1.7985345024124424,29.898419105734547,27,2,0
5,2002,6,204002.9333365106,0.0,1.7985345024124424,29.898419105734547,36,2,0
5,1998,7,202403.9164619988,0.0,1.7985345024124424,29.898419105734547,32,2,0
5,1999,1,197783.17902150672,0.0,1.7985345024124424,29.898419105734547,33,2,0
5,2000,12,185301.49879617756,0.0,1.7985345024124424,29.898419105734547,34,2,0
6,2002,6,153929.38101903055,0.0,0.8345914779029032,17.002978870452505,50,4,0
6,1996,2,158921.9762081814,0.0,0.8345914779029032,17.002978870452505,44,4,0
6,2001,1,140904.2485610818,0.0,0.8345914779029032,17.002978870452505,49,4,0
6,1994,9,143528.36461344585,0.0,0.8345914779029032,17.002978870452505,42,4,0
7,1997,8,221913.83305989343,0.0,4.560113276483992,11.306397335301261,18,4,1
7,1991,8,234088.96737254242,0.0,4.560113276483992,11.306397335301261,12,4,1
7,1998,1,233918.69657957304,0.0,4.560113276483992,11.306397335301261,19,4,1
7,1995,6,251611.66443955264,0.0,4.560113276483992,11.306397335301261,16,4,1
8,1992,10,252278.085352468,0.0,4.0164906575714845,24.799788303896406,31,3,1
8,2002,4,240868.70699394506,1.2493432339023853,4.0164906575714845,24.799788303896406,41,3,1
8,2001,12,243314.42071174094,0.6051474482889332,4.0164906575714845,24.799788303896406,40,3,1
8,1996,1,224154.45184219582,0.0,4.0164906575714845,24.799788303896406,35,3,1
8,1991,1,262969.38521877397,0.0,4.0164906575714845,24.799788303896406,30,3,1
8,1999,6,228230.78317041983,0.0,4.0164906575714845,24.799788303896406,38,3,1
9,1999,8,271301.14394414105,0.0,4.433841630246515,33.02072983128237,33,4,1
9,2002,10,243176.28680289912,1.9230630735756682,4.433841630246515,33.02072983128237,36,4,1
9,1998,6,281848.34350228927,0.0,4.433841630246515,33.02072983128237,32,4,1
9,1990,11,299959.381389808,0.0,4.433841630246515,33.02072983128237,24,4,1
10,1991,5,279391.6922682987,0.0,4.71640423741177,38.53381096802133,31,3,1
10,1992,12,299044.2530712019,0.0,4.71640423741177,38.53381096802133,32,3,1
10,2001,2,270225.08014633256,1.7677002882807424,4.71640423741177,38.53381096802133,41,3,1
11,1990,5,161553.89493441355,0.0,1.2197732237630476,24.811576133863163,44,2,1
11,1996,2,185137.4895316075,0.0,1.2197732237630476,24.811576133863163,50,2,1
11,2002,10,144088.3220397956,1.094515168746555,1.2197732237630476,24.811576133863163,56,2,1
12,1993,2,141754.29046659396,0.0,0.45293066207864807,11.36230468251111,12,2,1
12,1998,9,142720.92270421944,0.0,0.45293066207864807,11.36230468251111,17,2,1
12,1990,5,126713.39031075864,0.0,0.45293066207864807,11.36230468251111,9,2,1
12,1994,5,158894.58654882453,0.0,0.45293066207864807,11.36230468251111,13,2,1
13,1991,3,247702.50382520433,0.0,4.04912995469935,26.008737631798528,42,2,0
